Timestamp,Phoneme1,Prob1,Phoneme2,Prob2,Phoneme3,Prob3
69,f,0.7017,s,0.2689,[PAD],0.0294
72,ɛ,0.77,e,0.1648,ə,0.0653
78,l,0.9309,[PAD],0.0619,d,0.0072
81,i,0.9943,y,0.003,ɪ,0.0027
86,s,0.9867,[PAD],0.0108,l,0.0026
90,t,0.9961,[PAD],0.0031,k,0.0008
93,w,0.8817,[PAD],0.1162,y,0.0021
96,a,0.9859,ɔ,0.0103,ɑ,0.0038
101,ʁ,0.9412,ɾ,0.0453,[PAD],0.0136
107,d,0.8952,[PAD],0.0542,m,0.0507
110,œ,0.5901,a,0.2652,ɑ,0.1448
117,m,0.9913,v,0.0045,[PAD],0.0042
120,ə,0.8945,[PAD],0.0877,ɛ,0.0178
129,s,0.8732,z,0.0923,t,0.0345
133,ø,0.6048,y,0.3189,[PAD],0.0763
142,p,0.9663,b,0.0285,[PAD],0.0052
145,ə,0.9293,[PAD],0.0538,o,0.0169
152,t,0.9845,d,0.0107,θ,0.0048
157,i,0.9617,y,0.0193,ɪ,0.0191
167,t,0.6904,k,0.277,[PAD],0.0326
172,i,0.8289,[PAD],0.1575,ɪ,0.0136
181,v,0.9529,w,0.0279,[PAD],0.0192
186,i,0.9588,[PAD],0.0275,ɪ,0.0137
197,d,0.9568,[PAD],0.0305,t,0.0128
201,ɑ,0.7638,œ,0.1608,ɔ,0.0754
204,˜,0.734,[PAD],0.2572,ə,0.0088
226,y,0.8367,[PAD],0.1024,e,0.061
229,n,0.5172,[PAD],0.4584,˜,0.0243
235,ʒ,0.4889,v,0.4374,[PAD],0.0738
239,e,0.501,ɛ,0.3372,i,0.1618
249,m,0.9913,n,0.0074,[PAD],0.0014
252,ɛ,0.9272,u,0.0397,e,0.033
259,z,0.9952,s,0.0037,[PAD],0.001
264,ɔ,0.941,ə,0.0383,ɑ,0.0206
267,˜,0.9427,[PAD],0.0443,n,0.0129
282,s,0.9526,[PAD],0.0309,z,0.0165
286,i,0.9681,[PAD],0.0189,e,0.013
292,t,0.678,[PAD],0.3184,s,0.0036
298,y,0.9305,o,0.0543,i,0.0152
304,e,0.7056,[PAD],0.2304,ɛ,0.064
317,o,0.9589,ɔ,0.0301,ə,0.011
327,k,0.9851,ʃ,0.0113,ɡ,0.0036
336,ʁ,0.7262,[PAD],0.239,ɾ,0.0348
365,d,0.9835,[PAD],0.009,l,0.0076
368,œ,0.8794,ɑ,0.0739,ə,0.0466
371,˜,0.9286,ə,0.0502,[PAD],0.0212
377,v,0.9379,[PAD],0.0396,ʒ,0.0225
381,j,0.7861,[PAD],0.1455,l,0.0684
383,ø,0.6916,[PAD],0.2758,o,0.0326
391,v,0.972,[PAD],0.0149,f,0.0131
394,i,0.9767,[PAD],0.0149,y,0.0083
400,l,0.8079,z,0.1473,j,0.0448
404,a,0.9969,ɛ,0.0022,[PAD],0.0009
411,ʒ,0.9878,[PAD],0.0114,z,0.0008
415,|,0.9819,d,0.0104,[PAD],0.0077
