Timestamp,Phoneme1,Prob1,Phoneme2,Prob2,Phoneme3,Prob3
82,ɑ,0.5271,[PAD],0.4365,u,0.0364
84,˜,0.5233,[PAD],0.4211,ʁ,0.0556
90,s,0.8508,[PAD],0.1071,z,0.0421
95,e,0.8356,ɛ,0.1028,ə,0.0616
102,z,0.524,[PAD],0.3653,n,0.1107
110,i,0.9889,y,0.006,e,0.0051
116,s,0.8009,[PAD],0.1865,l,0.0126
123,t,0.9713,d,0.0205,[PAD],0.0082
128,w,0.8419,[PAD],0.1554,y,0.0027
132,a,0.9957,ɔ,0.0023,ɑ,0.002
137,ʁ,0.7387,[PAD],0.2297,ɾ,0.0316
144,d,0.9548,[PAD],0.0344,l,0.0108
148,ə,0.7253,y,0.2348,[PAD],0.0398
160,l,0.5942,[PAD],0.2476,ʁ,0.1583
163,y,0.5572,ø,0.3,[PAD],0.1428
177,s,0.6666,[PAD],0.2554,z,0.078
184,d,0.6014,[PAD],0.2802,s,0.1184
189,y,0.5896,ə,0.306,[PAD],0.1044
219,d,0.4148,p,0.3434,b,0.2418
223,y,0.4983,ə,0.2928,ø,0.2088
243,i,0.8226,e,0.1241,y,0.0533
271,t,0.4575,d,0.4299,[PAD],0.1126
277,i,0.5668,[PAD],0.3587,e,0.0745
303,e,0.508,i,0.4476,[PAD],0.0443
332,d,0.8563,t,0.1027,[PAD],0.041
337,ɑ,0.6166,ɔ,0.3435,y,0.04
340,˜,0.8979,[PAD],0.057,ʁ,0.045
355,y,0.5345,[PAD],0.3088,e,0.1567
385,z,0.3956,[PAD],0.3538,v,0.2506
389,j,0.6954,[PAD],0.2609,i,0.0437
393,e,0.475,ɛ,0.3375,œ,0.1875
410,v,0.8036,m,0.0985,[PAD],0.0979
417,ɛ,0.5464,i,0.3928,e,0.0607
427,z,0.9353,s,0.0461,[PAD],0.0186
432,ɔ,0.8523,ɑ,0.0941,o,0.0536
434,˜,0.8905,[PAD],0.0891,n,0.0204
466,s,0.6187,[PAD],0.3325,z,0.0488
472,i,0.847,e,0.1343,y,0.0187
483,t,0.6031,d,0.2702,k,0.1266
489,y,0.5989,[PAD],0.2439,i,0.1572
501,e,0.7217,i,0.2111,[PAD],0.0672
532,o,0.7688,u,0.1838,ɔ,0.0474
563,k,0.5117,ɡ,0.3955,[PAD],0.0927
566,l,0.4856,[PAD],0.453,ʁ,0.0614
571,a,0.4543,ɛ,0.4082,e,0.1375
585,ʁ,0.6452,[PAD],0.3284,ɾ,0.0264
661,d,0.9863,[PAD],0.0111,l,0.0026
664,ɑ,0.9457,y,0.0383,ɔ,0.016
667,˜,0.9567,ə,0.029,[PAD],0.0143
675,z,0.5614,[PAD],0.3186,|,0.12
685,ə,0.4204,y,0.3315,ø,0.2481
696,v,0.9764,[PAD],0.0155,f,0.0081
703,i,0.9785,[PAD],0.0146,y,0.0069
712,l,0.9469,j,0.046,z,0.0072
717,a,0.9884,ɛ,0.0072,ɑ,0.0044
733,ʒ,0.9706,ʃ,0.0164,[PAD],0.013
