Timestamp,Phoneme1,Prob1,Phoneme2,Prob2,Phoneme3,Prob3
83,s,0.9764,[PAD],0.0173,d,0.0063
86,ɛ,0.8461,ə,0.0864,e,0.0675
94,l,0.9932,[PAD],0.0055,d,0.0012
98,i,0.9976,ɪ,0.0017,[PAD],0.0007
102,s,0.9957,[PAD],0.004,l,0.0003
106,t,0.9995,[PAD],0.0004,k,0.0001
109,w,0.6511,[PAD],0.3488,ʁ,0.0001
110,w,0.9616,[PAD],0.0383,y,0.0001
112,a,0.9722,ɔ,0.0263,ə,0.0015
118,ʁ,0.9817,ɾ,0.0175,[PAD],0.0008
123,d,0.9933,[PAD],0.0062,l,0.0006
127,ə,0.8955,e,0.0688,y,0.0357
133,m,0.9949,[PAD],0.0035,n,0.0016
136,ə,0.8688,e,0.0749,ɛ,0.0563
146,s,0.7136,z,0.1924,ʃ,0.094
150,ø,0.6873,e,0.2691,ə,0.0436
158,p,0.9932,b,0.0039,[PAD],0.0028
161,ə,0.9283,e,0.0445,[PAD],0.0272
168,t,0.963,d,0.0302,p,0.0068
182,k,0.8829,ɡ,0.0969,d,0.0202
187,i,0.8508,e,0.1261,[PAD],0.0231
195,b,0.5099,v,0.3762,p,0.1139
244,d,0.9985,[PAD],0.0011,t,0.0003
247,ɑ,0.9774,y,0.0158,ɔ,0.0068
250,˜,0.9835,ə,0.0102,[PAD],0.0063
254,z,0.9726,ə,0.018,[PAD],0.0094
260,y,0.9728,o,0.0236,œ,0.0035
264,n,0.9953,˜,0.0029,[PAD],0.0018
272,v,0.9878,b,0.0064,d,0.0057
275,j,0.825,[PAD],0.1681,i,0.0069
276,j,0.9832,i,0.0146,[PAD],0.0022
278,ɛ,0.9728,u,0.0204,a,0.0067
286,j,0.9804,[PAD],0.0174,l,0.0021
292,m,0.985,n,0.0116,l,0.0035
296,ɛ,0.968,u,0.0185,i,0.0135
304,z,0.9966,s,0.0028,[PAD],0.0006
310,ɔ,0.9601,ɑ,0.0201,ə,0.0198
312,˜,0.9705,[PAD],0.0242,n,0.0053
344,s,0.9831,z,0.0102,ʃ,0.0068
348,i,0.8983,e,0.094,ɛ,0.0077
358,t,0.7827,f,0.1404,s,0.0768
364,e,0.8245,ɛ,0.1089,[PAD],0.0666
383,o,0.9794,ɔ,0.0145,u,0.0061
392,k,0.8811,ʃ,0.1108,t,0.008
396,ɛ,0.3869,e,0.3074,œ,0.3057
403,ʁ,0.778,[PAD],0.2055,ɾ,0.0165
433,d,0.9256,t,0.0538,[PAD],0.0205
438,œ,0.5499,ɑ,0.4241,ɔ,0.026
441,˜,0.9694,ə,0.0176,[PAD],0.013
450,v,0.9318,b,0.0498,d,0.0184
455,ø,0.5755,e,0.3005,i,0.124
463,v,0.9706,d,0.0226,b,0.0068
467,i,0.9865,e,0.0078,[PAD],0.0057
475,l,0.9798,[PAD],0.0114,j,0.0088
480,a,0.9546,ɛ,0.0376,e,0.0078
492,ʒ,0.936,[PAD],0.0512,ʃ,0.0128
500,l,0.9873,[PAD],0.0114,d,0.0013
502,a,0.8615,ə,0.078,[PAD],0.0606
509,m,0.9942,n,0.0053,l,0.0006
511,ɛ,0.7212,[PAD],0.1815,i,0.0973
517,z,0.9704,s,0.026,ʒ,0.0036
521,ɔ,0.9576,ə,0.0223,ɑ,0.0201
553,ɛ,0.5405,e,0.4502,u,0.0093
565,ɑ,0.968,y,0.0194,ɔ,0.0126
568,˜,0.5268,[PAD],0.4728,ə,0.0004
576,t,0.9957,d,0.0031,[PAD],0.0012
580,u,0.9726,o,0.0191,ɔ,0.0083
585,ʁ,0.8111,v,0.1744,ɾ,0.0145
589,e,0.9106,ɛ,0.0658,ə,0.0236
598,d,0.99,[PAD],0.0072,t,0.0028
601,œ,0.9329,ɑ,0.0431,ə,0.0241
604,˜,0.9719,ə,0.022,[PAD],0.0061
612,ʒ,0.9579,ʃ,0.0413,s,0.0009
615,a,0.9862,ɛ,0.0133,u,0.0005
619,ʁ,0.9753,ɾ,0.02,[PAD],0.0047
626,d,0.7352,p,0.1838,b,0.0811
629,ɔ,0.6643,ɛ,0.2878,ɑ,0.0479
632,˜,0.9772,[PAD],0.0118,n,0.011
645,a,0.9988,[PAD],0.0011,e,0.0001
650,v,0.9997,ʁ,0.0001,[PAD],0.0001
654,ɛ,0.9798,u,0.0187,[PAD],0.0015
660,k,0.9719,[PAD],0.0222,t,0.0059
674,y,0.9543,[PAD],0.0247,o,0.021
677,n,0.9777,[PAD],0.0132,˜,0.0091
683,b,0.8487,m,0.0916,v,0.0597
685,a,0.9914,ɛ,0.0061,ɑ,0.0026
689,ʁ,0.9683,ɾ,0.0208,[PAD],0.0109
696,j,0.9668,i,0.0283,[PAD],0.0049
700,ɛ,0.907,e,0.0775,u,0.0155
705,ʁ,0.8139,[PAD],0.1689,ɾ,0.0172
754,i,0.9885,[PAD],0.0069,e,0.0046
760,l,0.9108,[PAD],0.0654,|,0.0238
766,i,0.4664,j,0.3867,[PAD],0.1469
770,a,0.9897,[PAD],0.0052,ɛ,0.0051
798,d,0.9825,[PAD],0.0107,l,0.0069
800,e,0.8776,ə,0.096,i,0.0264
829,k,0.8877,[PAD],0.1103,ʁ,0.002
833,ɔ,0.8909,ɑ,0.0924,ə,0.0167
840,˜,0.9203,[PAD],0.0748,n,0.0049
864,k,0.9595,[PAD],0.0367,ɡ,0.0039
870,ɔ,0.9245,ɑ,0.0578,ə,0.0177
875,˜,0.9573,[PAD],0.035,ʁ,0.0077
883,b,0.9826,β,0.0141,[PAD],0.0033
885,ʁ,0.9648,[PAD],0.0179,ɾ,0.0173
891,|,0.9935,e,0.0037,[PAD],0.0028
955,d,0.9617,t,0.0307,[PAD],0.0075
958,e,0.7592,ə,0.2282,i,0.0126
976,ʃ,0.9291,ʒ,0.0669,f,0.004
982,u,0.653,o,0.2928,w,0.0542
1011,k,0.5014,p,0.3914,t,0.1072
1013,ʁ,0.5791,[PAD],0.4102,ɾ,0.0107
1016,i,0.6847,[PAD],0.2387,ə,0.0766
1022,i,0.6159,[PAD],0.251,e,0.1331
1028,z,0.8974,v,0.0757,s,0.0269
1032,e,0.8509,ɛ,0.0806,i,0.0685
1054,t,0.9791,[PAD],0.0114,d,0.0095
1058,u,0.9911,o,0.0053,y,0.0036
1063,t,0.9562,[PAD],0.0418,d,0.002
1076,s,0.9928,[PAD],0.004,ʃ,0.0032
1080,ɔ,0.917,a,0.0673,ə,0.0156
1084,ʁ,0.976,ɾ,0.0192,[PAD],0.0048
1090,t,0.9941,[PAD],0.0056,d,0.0003
1100,d,0.9967,[PAD],0.0025,l,0.0008
1102,ə,0.8867,[PAD],0.1029,e,0.0104
1110,l,0.9933,v,0.0044,[PAD],0.0022
1112,e,0.8281,i,0.1212,ə,0.0507
1122,ɡ,0.9253,k,0.053,ʒ,0.0217
1127,y,0.8283,[PAD],0.1502,o,0.0216
1132,m,0.6219,l,0.2087,n,0.1694
1169,o,0.9767,[PAD],0.0144,ɔ,0.009
1180,f,0.8512,v,0.1313,p,0.0174
1184,ɔ,0.8933,ɑ,0.0897,ə,0.0169
1187,˜,0.8807,[PAD],0.1176,ʁ,0.0017
1197,d,0.9984,[PAD],0.0015,t,0.0001
1200,y,0.9039,ə,0.0941,e,0.0019
1206,ʒ,0.9838,ʃ,0.0152,s,0.0009
1209,a,0.9858,ɛ,0.0136,ɑ,0.0006
1213,ʁ,0.9705,ɾ,0.0208,[PAD],0.0087
1221,d,0.9308,b,0.043,p,0.0261
1225,ɔ,0.4594,ɛ,0.3258,ɑ,0.2149
1228,˜,0.9533,n,0.0295,[PAD],0.0172
1300,l,0.9977,[PAD],0.0018,d,0.0005
1302,ə,0.9338,e,0.0569,[PAD],0.0093
1313,p,0.9707,b,0.0226,k,0.0067
1316,ɔ,0.873,a,0.0966,ɑ,0.0304
1320,ʁ,0.9683,ɾ,0.0188,ː,0.0128
1330,t,0.9492,s,0.0298,θ,0.021
1335,j,0.6795,[PAD],0.1667,i,0.1538
1337,ɔ,0.8496,o,0.0939,ɑ,0.0565
1340,˜,0.8475,[PAD],0.0862,n,0.0662
1366,ʁ,0.979,ɾ,0.0199,[PAD],0.0011
1370,ɛ,0.977,u,0.021,i,0.002
1377,s,0.9938,[PAD],0.0055,z,0.0007
1380,t,0.989,[PAD],0.0107,k,0.0003
1390,t,0.9987,[PAD],0.0008,d,0.0005
1394,u,0.9978,o,0.0015,y,0.0006
1402,ʒ,0.9996,ʃ,0.0003,[PAD],0.0001
