Timestamp,Phoneme1,Prob1,Phoneme2,Prob2,Phoneme3,Prob3
79,s,0.7346,ʒ,0.2074,z,0.058
84,e,0.471,ə,0.3478,ɛ,0.1811
98,l,0.9635,[PAD],0.0253,ʁ,0.0112
102,i,0.9824,y,0.0119,ɪ,0.0057
109,s,0.9171,[PAD],0.0754,z,0.0075
115,t,0.9537,d,0.0367,[PAD],0.0097
118,w,0.7409,[PAD],0.2576,ʁ,0.0015
121,a,0.8749,ɔ,0.0949,o,0.0301
126,ʁ,0.8702,[PAD],0.0906,ɾ,0.0392
134,d,0.986,[PAD],0.0108,t,0.0032
137,ə,0.8965,e,0.0597,y,0.0438
144,m,0.9773,l,0.0137,v,0.009
147,ə,0.893,e,0.0602,[PAD],0.0468
154,z,0.5513,s,0.368,ʒ,0.0807
159,ø,0.5664,y,0.3125,e,0.1212
170,p,0.6461,d,0.2747,b,0.0792
173,ə,0.8995,e,0.0508,[PAD],0.0496
183,t,0.6472,d,0.1884,k,0.1644
188,i,0.9518,e,0.0244,y,0.0238
218,k,0.4922,d,0.3366,t,0.1711
223,i,0.8944,[PAD],0.0819,e,0.0238
258,v,0.6112,f,0.3604,[PAD],0.0284
263,i,0.9584,y,0.0263,[PAD],0.0153
295,d,0.9714,t,0.0206,[PAD],0.008
300,ɑ,0.6871,ɔ,0.2526,œ,0.0603
304,˜,0.9315,[PAD],0.0356,n,0.0329
342,z,0.8104,[PAD],0.1296,s,0.06
348,y,0.9026,o,0.0499,i,0.0475
356,n,0.8602,[PAD],0.0769,˜,0.0628
392,v,0.9612,w,0.0205,b,0.0182
396,i,0.8165,ø,0.1197,y,0.0638
411,m,0.9828,[PAD],0.013,n,0.0042
414,ɛ,0.9439,u,0.0398,e,0.0163
421,z,0.9843,[PAD],0.0088,s,0.0069
426,ɔ,0.8716,ɑ,0.0975,ə,0.031
430,˜,0.9351,[PAD],0.0402,n,0.0247
486,s,0.4642,ʒ,0.2855,[PAD],0.2503
492,i,0.6668,e,0.2153,y,0.118
556,o,0.7656,u,0.1341,ɔ,0.1002
586,k,0.7525,ɡ,0.1623,t,0.0852
590,ɔ,0.7106,a,0.1735,u,0.1158
602,ʁ,0.9,[PAD],0.0617,ɾ,0.0383
638,d,0.9461,[PAD],0.0316,ʒ,0.0222
644,y,0.8476,[PAD],0.1297,o,0.0226
645,y,0.9494,o,0.0345,i,0.0161
675,v,0.7136,f,0.2184,[PAD],0.068
680,i,0.419,y,0.2914,ø,0.2896
742,v,0.5856,[PAD],0.2922,d,0.1222
751,l,0.8581,[PAD],0.0856,j,0.0563
755,e,0.471,ə,0.3429,ɛ,0.1861
771,ʒ,0.6815,ʃ,0.163,[PAD],0.1554
796,a,0.9697,ɛ,0.0188,[PAD],0.0115
822,m,0.9064,l,0.0713,n,0.0223
825,ɛ,0.9391,u,0.037,e,0.0239
832,z,0.9807,[PAD],0.0107,d,0.0086
837,ɔ,0.8789,ɑ,0.0866,ə,0.0345
842,˜,0.9153,[PAD],0.063,n,0.0217
878,e,0.844,ɛ,0.0928,ə,0.0631
894,ɑ,0.7618,ɔ,0.1626,o,0.0756
898,˜,0.8432,[PAD],0.1093,ʁ,0.0476
908,t,0.5813,d,0.4134,θ,0.0053
914,u,0.7736,o,0.1257,[PAD],0.1008
934,ʁ,0.9093,[PAD],0.0499,ɾ,0.0407
953,t,0.528,d,0.467,b,0.005
957,u,0.8276,o,0.1106,ɔ,0.0618
966,ʁ,0.9165,[PAD],0.0452,ɾ,0.0383
1008,d,0.964,[PAD],0.0185,t,0.0175
1011,y,0.577,[PAD],0.3297,ə,0.0932
1022,n,0.5471,[PAD],0.3943,˜,0.0586
