Timestamp,Phoneme1,Prob1,Phoneme2,Prob2,Phoneme3,Prob3
77,l,0.4489,[PAD],0.4085,d,0.1426
134,f,0.4919,[PAD],0.4092,v,0.0989
140,i,0.6011,e,0.3133,ɛ,0.0856
150,l,0.864,[PAD],0.1218,n,0.0142
153,i,0.7538,[PAD],0.1807,y,0.0655
159,s,0.4849,[PAD],0.3501,f,0.165
165,t,0.9242,p,0.0428,d,0.033
169,w,0.5989,[PAD],0.3973,ʁ,0.0038
171,a,0.8608,u,0.0904,ɔ,0.0488
178,ʁ,0.7498,[PAD],0.2309,ɾ,0.0193
188,d,0.8659,[PAD],0.11,l,0.0241
192,ə,0.7473,e,0.1394,y,0.1133
199,l,0.5928,m,0.2425,n,0.1647
203,i,0.6562,y,0.267,e,0.0768
212,z,0.4017,v,0.3468,[PAD],0.2515
217,i,0.697,e,0.2342,y,0.0688
229,p,0.7776,b,0.1899,[PAD],0.0324
232,ə,0.8035,e,0.1144,[PAD],0.0821
241,t,0.8194,d,0.0999,p,0.0808
247,i,0.8767,e,0.0789,y,0.0444
274,k,0.5317,[PAD],0.4008,t,0.0675
279,i,0.8908,e,0.0679,[PAD],0.0413
291,ʁ,0.6529,[PAD],0.2524,ʒ,0.0947
297,y,0.6605,ø,0.2491,[PAD],0.0905
338,k,0.7495,d,0.1312,[PAD],0.1193
343,i,0.9119,[PAD],0.0442,e,0.0439
358,i,0.6828,e,0.1821,[PAD],0.1351
392,d,0.8462,t,0.1162,[PAD],0.0376
393,d,0.8795,[PAD],0.0989,t,0.0216
396,ɔ,0.5546,ɑ,0.4099,[PAD],0.0355
414,i,0.8582,y,0.071,e,0.0707
422,l,0.7471,[PAD],0.2121,n,0.0408
439,ɛ,0.6245,e,0.2452,[PAD],0.1303
466,l,0.5762,v,0.2404,m,0.1834
471,i,0.7675,e,0.1713,[PAD],0.0611
481,f,0.5636,z,0.2504,s,0.186
486,ɔ,0.7941,ɑ,0.1686,ɛ,0.0373
489,˜,0.869,[PAD],0.1075,n,0.0236
521,t,0.6366,k,0.2278,ʒ,0.1356
529,y,0.4151,i,0.3089,e,0.276
603,o,0.4925,u,0.3444,ɔ,0.163
623,k,0.719,ɡ,0.2151,ʒ,0.0659
629,ɛ,0.6391,e,0.2043,ə,0.1566
640,ʁ,0.5096,[PAD],0.4802,ɾ,0.0101
704,d,0.9858,l,0.0085,[PAD],0.0057
708,ɑ,0.7569,ɔ,0.1608,œ,0.0824
712,˜,0.9239,[PAD],0.0484,ʁ,0.0277
730,l,0.6506,[PAD],0.1976,j,0.1517
735,ø,0.787,y,0.1602,[PAD],0.0528
773,i,0.8444,e,0.1059,[PAD],0.0497
780,l,0.911,j,0.0665,[PAD],0.0225
784,a,0.7709,ɛ,0.1754,ə,0.0537
795,ʒ,0.3846,ʃ,0.3771,[PAD],0.2383
841,l,0.9566,[PAD],0.0408,d,0.0025
843,a,0.9114,ə,0.0775,e,0.0111
851,m,0.9833,l,0.0108,v,0.0059
852,m,0.8607,[PAD],0.1355,l,0.0038
855,ɛ,0.9696,u,0.0221,i,0.0083
863,z,0.9923,s,0.0051,[PAD],0.0026
868,ɔ,0.9495,ə,0.0256,ɑ,0.0249
872,˜,0.9588,[PAD],0.036,n,0.0051
886,ɛ,0.5693,e,0.3395,i,0.0912
893,t,0.709,[PAD],0.2678,|,0.0232
894,t,0.7882,|,0.1814,[PAD],0.0304
898,ɑ,0.7663,œ,0.1265,ɔ,0.1072
901,˜,0.9151,[PAD],0.0581,ʁ,0.0267
908,t,0.9223,d,0.0549,k,0.0228
913,u,0.799,o,0.1322,y,0.0688
918,ʁ,0.8302,[PAD],0.1501,ɾ,0.0197
924,e,0.8205,ɛ,0.0917,i,0.0878
954,d,0.9235,[PAD],0.0548,l,0.0217
956,ɑ,0.613,œ,0.3573,a,0.0296
966,s,0.6951,ʒ,0.1898,[PAD],0.1151
969,ɔ,0.4549,a,0.43,ɛ,0.1151
972,ʁ,0.9249,[PAD],0.0543,ɾ,0.0208
979,t,0.8148,d,0.1394,[PAD],0.0458
983,ɑ,0.3845,ɛ,0.334,œ,0.2815
997,a,0.9816,œ,0.0113,[PAD],0.0071
1004,v,0.9464,ʁ,0.0376,l,0.016
1008,ɛ,0.8147,e,0.1432,[PAD],0.0422
1015,k,0.5204,t,0.2576,d,0.222
1021,n,0.4388,[PAD],0.2877,˜,0.2735
1028,p,0.5233,b,0.423,v,0.0537
1030,a,0.9756,ɛ,0.0137,e,0.0106
1036,ʁ,0.9529,[PAD],0.0258,ɾ,0.0213
1042,j,0.5589,[PAD],0.2998,l,0.1413
1047,ɛ,0.5871,e,0.3037,a,0.1093
1053,ʁ,0.5945,[PAD],0.3925,ɾ,0.013
1116,a,0.6914,[PAD],0.1775,ɛ,0.1311
1156,d,0.5843,[PAD],0.208,t,0.2077
1160,i,0.4981,e,0.4632,ɛ,0.0387
1204,k,0.9114,p,0.0592,t,0.0294
1210,ɔ,0.6957,ɑ,0.2554,u,0.0489
1244,ɔ,0.6703,ɑ,0.2941,œ,0.0357
1249,˜,0.8678,[PAD],0.0679,m,0.0643
1257,b,0.7964,[PAD],0.1095,p,0.0941
1259,ʁ,0.5355,[PAD],0.4458,a,0.0187
1326,i,0.7599,e,0.193,[PAD],0.0472
1351,ʃ,0.5167,ʒ,0.4552,s,0.0281
1357,u,0.8201,o,0.1008,w,0.0791
1378,f,0.7894,p,0.1117,[PAD],0.099
1381,ʁ,0.9305,[PAD],0.0357,ɹ,0.0338
1385,i,0.8549,[PAD],0.0844,e,0.0607
1393,z,0.5312,[PAD],0.253,v,0.2158
1399,e,0.6271,i,0.2018,ɛ,0.1712
1456,t,0.8039,d,0.1601,k,0.0359
1463,u,0.8754,ɔ,0.0634,o,0.0612
1487,s,0.9411,z,0.049,[PAD],0.0099
1492,ɔ,0.9307,œ,0.0421,ə,0.0272
1498,ʁ,0.9591,ɾ,0.0223,ː,0.0186
1508,t,0.8862,[PAD],0.1007,d,0.0132
1527,t,0.7857,d,0.1828,[PAD],0.0315
1531,u,0.838,o,0.0837,ɔ,0.0783
1537,t,0.8289,[PAD],0.1504,d,0.0207
1548,s,0.9393,z,0.0505,[PAD],0.0102
1552,ɔ,0.9244,œ,0.0426,ə,0.033
1558,ʁ,0.9522,[PAD],0.0244,ɾ,0.0234
1565,t,0.8804,[PAD],0.1093,d,0.0103
1587,d,0.9256,t,0.0429,[PAD],0.0316
1590,ə,0.5614,e,0.3791,ɛ,0.0595
1598,l,0.8621,[PAD],0.0847,j,0.0533
1601,i,0.7057,e,0.2535,[PAD],0.0407
1611,d,0.4178,t,0.3636,k,0.2186
1615,y,0.6179,i,0.2591,ø,0.123
1669,u,0.5026,o,0.4558,ɔ,0.0415
1685,f,0.8926,v,0.0813,[PAD],0.026
1689,ɔ,0.7903,ɑ,0.1866,ə,0.0231
1693,˜,0.896,[PAD],0.0792,ʁ,0.0248
1702,d,0.9505,t,0.0341,[PAD],0.0154
1705,y,0.887,ə,0.0885,e,0.0246
1712,ʒ,0.8857,ʃ,0.1013,[PAD],0.013
1716,a,0.8469,ɛ,0.1372,ɑ,0.0159
1720,ʁ,0.7564,[PAD],0.2241,ː,0.0195
1728,d,0.7943,b,0.1043,p,0.1014
1733,ɛ,0.6985,ɑ,0.2237,œ,0.0779
1737,˜,0.8915,n,0.0669,[PAD],0.0416
1781,l,0.9694,[PAD],0.0229,j,0.0077
1784,ə,0.8741,[PAD],0.1025,e,0.0234
1832,p,0.8137,b,0.1007,k,0.0856
1836,u,0.7349,ɔ,0.213,o,0.0521
1841,ʁ,0.9546,[PAD],0.0237,ɾ,0.0217
1853,t,0.6786,k,0.2279,d,0.0934
1859,i,0.9121,e,0.0517,[PAD],0.0362
1869,l,0.5806,[PAD],0.2881,j,0.1313
1880,˜,0.4017,[PAD],0.3863,n,0.212
1919,ɛ,0.7062,a,0.2099,e,0.0839
1932,t,0.5775,[PAD],0.2704,k,0.152
1944,t,0.6503,d,0.3297,[PAD],0.02
1948,u,0.8602,ɔ,0.0843,ɑ,0.0555
1958,ʒ,0.8858,ʃ,0.0812,s,0.033
1962,u,0.8129,ɔ,0.1175,o,0.0696
1965,ʁ,0.9003,[PAD],0.0784,ɾ,0.0213
1975,f,0.786,s,0.15,v,0.064
1979,ɛ,0.5925,a,0.3945,u,0.013
