Timestamp,Phoneme1,Prob1,Phoneme2,Prob2,Phoneme3,Prob3
128,s,0.7484,[PAD],0.1394,f,0.1122
134,ə,0.3657,ɛ,0.3269,e,0.3074
148,l,0.9413,[PAD],0.0472,v,0.0115
152,i,0.963,y,0.0229,[PAD],0.014
164,s,0.5342,[PAD],0.4653,i,0.0006
166,t,0.7802,s,0.1251,[PAD],0.0947
170,w,0.8269,[PAD],0.1715,ʁ,0.0016
171,w,0.651,[PAD],0.3483,y,0.0007
173,a,0.951,ɔ,0.0409,œ,0.0081
179,ʁ,0.8855,[PAD],0.0726,ɾ,0.0419
186,d,0.9599,[PAD],0.0209,l,0.0191
189,ə,0.6693,œ,0.2233,e,0.1074
227,m,0.9449,l,0.0378,n,0.0174
230,ə,0.77,ɛ,0.1346,e,0.0954
241,s,0.5402,z,0.2595,t,0.2002
246,ø,0.5775,y,0.2635,i,0.159
260,p,0.5243,d,0.4027,t,0.073
263,ə,0.7652,y,0.1325,[PAD],0.1023
277,t,0.7596,d,0.1238,k,0.1166
282,i,0.652,y,0.3022,e,0.0458
343,k,0.8632,d,0.0826,[PAD],0.0542
349,i,0.9021,ə,0.075,e,0.0229
363,v,0.6172,l,0.2902,[PAD],0.0926
368,i,0.9214,y,0.0666,[PAD],0.0119
389,d,0.9806,t,0.0113,[PAD],0.008
394,ɑ,0.952,y,0.0244,[PAD],0.0236
395,ɑ,0.925,ɔ,0.0422,y,0.0327
402,˜,0.8181,[PAD],0.1785,ə,0.0034
419,z,0.8998,[PAD],0.0814,ə,0.0188
427,y,0.9397,o,0.0473,[PAD],0.013
434,n,0.8186,[PAD],0.1743,˜,0.0071
451,l,0.4757,v,0.4087,b,0.1157
454,j,0.6933,[PAD],0.2692,i,0.0374
458,ɛ,0.7515,ø,0.1468,i,0.1017
472,m,0.9949,n,0.0032,l,0.0019
475,ɛ,0.9542,u,0.0386,e,0.0073
485,z,0.9071,[PAD],0.0924,s,0.0005
489,ɔ,0.9413,ə,0.0369,ɑ,0.0219
491,˜,0.8926,[PAD],0.1015,ə,0.0059
505,s,0.6524,f,0.2659,ʃ,0.0817
509,i,0.6962,e,0.1528,[PAD],0.151
517,t,0.6162,d,0.2355,k,0.1483
521,i,0.6031,y,0.2965,[PAD],0.1004
527,l,0.6037,[PAD],0.2828,j,0.1135
531,e,0.4943,ɛ,0.4577,i,0.048
550,o,0.9242,ɑ,0.0517,[PAD],0.0241
560,k,0.8916,t,0.1002,ʃ,0.0082
566,œ,0.8883,y,0.056,ə,0.0557
572,ʁ,0.8471,[PAD],0.1135,ɾ,0.0394
615,d,0.9379,t,0.0361,b,0.0259
619,ɑ,0.5208,œ,0.4501,a,0.0292
624,˜,0.9064,ʁ,0.0519,[PAD],0.0417
638,v,0.5417,d,0.2999,l,0.1584
644,j,0.7,[PAD],0.2619,i,0.0381
647,ø,0.8892,y,0.0647,ə,0.0461
663,v,0.9741,[PAD],0.0179,w,0.008
