Timestamp,Phoneme1,Prob1,Phoneme2,Prob2,Phoneme3,Prob3
88,s,0.9482,[PAD],0.0304,ʒ,0.0214
91,ɛ,0.9294,u,0.0454,ə,0.0252
97,t,0.9837,[PAD],0.0083,ə,0.0079
102,i,0.9824,[PAD],0.0111,e,0.0065
107,s,0.9715,[PAD],0.0239,l,0.0046
112,t,0.9852,p,0.0096,[PAD],0.0052
115,w,0.7323,[PAD],0.2673,ʁ,0.0004
117,a,0.8445,ɔ,0.1239,o,0.0316
153,d,0.9558,l,0.0318,[PAD],0.0124
156,ə,0.7791,e,0.1897,[PAD],0.0312
180,l,0.3684,m,0.3344,n,0.2972
182,ə,0.3997,ɔ,0.3166,ɛ,0.2837
193,s,0.7759,ʒ,0.1147,ʃ,0.1093
198,ə,0.4529,e,0.3383,y,0.2089
209,p,0.8674,k,0.0696,t,0.063
212,ə,0.8134,[PAD],0.1188,e,0.0677
220,t,0.6503,k,0.3297,d,0.0199
225,i,0.7945,e,0.1226,ə,0.0829
234,k,0.5258,t,0.4519,d,0.0223
239,i,0.9024,e,0.0578,y,0.0398
240,i,0.7319,[PAD],0.222,e,0.0461
253,f,0.5428,[PAD],0.2644,ʁ,0.1928
283,d,0.8083,t,0.1489,[PAD],0.0428
287,ɑ,0.4336,ɔ,0.4078,ə,0.1586
291,˜,0.5654,[PAD],0.356,ʁ,0.0786
311,n,0.4862,[PAD],0.4775,ʁ,0.0363
337,f,0.5326,[PAD],0.2661,ʒ,0.2013
342,e,0.5203,ɛ,0.2854,ə,0.1943
356,m,0.4801,l,0.3666,n,0.1533
368,z,0.9135,s,0.0574,[PAD],0.0292
373,ɔ,0.7462,ɑ,0.2256,ə,0.0282
377,˜,0.9265,[PAD],0.057,n,0.0165
383,s,0.79,t,0.1325,[PAD],0.0775
386,i,0.7559,e,0.1404,ə,0.1037
393,t,0.8465,k,0.1282,d,0.0253
398,y,0.8915,i,0.0592,o,0.0493
399,y,0.7193,[PAD],0.2623,o,0.0184
406,e,0.7942,ɛ,0.1324,[PAD],0.0734
419,o,0.9557,u,0.0245,ə,0.0198
429,k,0.6966,ɡ,0.2718,t,0.0316
433,a,0.5784,ɛ,0.2609,œ,0.1607
466,d,0.9776,t,0.0132,[PAD],0.0092
469,ɑ,0.7294,œ,0.1488,a,0.1219
473,˜,0.8445,[PAD],0.1102,ʁ,0.0453
480,v,0.7579,f,0.1356,ʒ,0.1064
485,i,0.4356,[PAD],0.3604,y,0.2041
493,v,0.9023,ʁ,0.0696,[PAD],0.0281
497,i,0.9098,[PAD],0.0475,e,0.0427
502,l,0.8243,j,0.1499,[PAD],0.0258
507,a,0.9436,ɛ,0.0449,[PAD],0.0116
517,ʒ,0.6879,ʃ,0.2874,k,0.0247
552,l,0.9652,[PAD],0.0305,d,0.0043
554,a,0.8753,ɛ,0.0692,ə,0.0554
563,l,0.4781,m,0.4391,n,0.0829
567,ɛ,0.6366,e,0.2547,i,0.1087
576,z,0.9108,[PAD],0.0641,s,0.0251
580,ɔ,0.7681,ɑ,0.2033,ə,0.0286
584,˜,0.9173,[PAD],0.0421,n,0.0407
599,e,0.8031,ɛ,0.1577,ə,0.0392
610,ɑ,0.8463,œ,0.1232,y,0.0305
613,˜,0.9268,[PAD],0.0628,ə,0.0103
619,t,0.9324,d,0.0648,[PAD],0.0028
623,u,0.9527,o,0.0337,y,0.0136
628,ʁ,0.9565,ɾ,0.0388,v,0.0047
633,e,0.8643,ɛ,0.0986,ə,0.0371
644,d,0.9878,[PAD],0.0089,t,0.0032
648,ɑ,0.5399,œ,0.4024,a,0.0577
651,˜,0.9398,[PAD],0.0337,ʁ,0.0265
658,ʒ,0.9871,ʃ,0.0084,z,0.0045
662,a,0.8738,ɑ,0.0894,ɛ,0.0368
665,ʁ,0.7397,˜,0.1656,[PAD],0.0947
670,d,0.9945,[PAD],0.0038,b,0.0017
675,ɛ,0.5327,ɑ,0.3048,œ,0.1625
678,˜,0.8917,n,0.0644,[PAD],0.0439
687,a,0.9994,[PAD],0.0005,ɛ,0.0001
694,v,0.9974,ʁ,0.0017,w,0.0009
698,ɛ,0.9544,u,0.041,[PAD],0.0047
706,k,0.9939,[PAD],0.0043,t,0.0019
718,y,0.7414,[PAD],0.1622,e,0.0964
723,n,0.4748,[PAD],0.4355,l,0.0897
729,l,0.4805,[PAD],0.3022,v,0.2173
732,a,0.9531,ɛ,0.0354,ɑ,0.0115
737,ʁ,0.9295,ɾ,0.0432,[PAD],0.0273
742,j,0.9042,i,0.0632,[PAD],0.0326
746,ɛ,0.5012,a,0.3431,[PAD],0.1557
776,i,0.9135,e,0.0483,y,0.0382
782,l,0.6385,v,0.2281,ʁ,0.1334
797,a,0.9074,ɛ,0.0552,[PAD],0.0374
827,d,0.9386,l,0.0542,[PAD],0.0073
831,e,0.6184,ə,0.3276,ɛ,0.054
842,k,0.4363,[PAD],0.3763,ɡ,0.1874
847,ɔ,0.4887,o,0.3982,ɑ,0.1131
852,˜,0.6225,[PAD],0.2213,ʁ,0.1562
898,p,0.4162,k,0.3639,t,0.2199
902,ɔ,0.7305,ɑ,0.2355,o,0.034
908,˜,0.9098,[PAD],0.0642,n,0.0259
929,k,0.849,t,0.0827,ɡ,0.0683
933,ɔ,0.7471,ɑ,0.2201,ə,0.0329
938,˜,0.8073,[PAD],0.1672,n,0.0255
946,ʁ,0.4249,[PAD],0.2943,b,0.2808
947,ʁ,0.7154,[PAD],0.2435,w,0.0411
982,d,0.9713,l,0.022,[PAD],0.0067
985,e,0.5487,ə,0.4147,i,0.0366
995,ʒ,0.6918,ʃ,0.3007,s,0.0075
1000,u,0.7766,w,0.1232,o,0.1002
1051,ʁ,0.8075,l,0.1113,[PAD],0.0812
1054,e,0.448,i,0.3209,[PAD],0.2312
1064,i,0.7389,[PAD],0.2291,e,0.0319
1072,z,0.4201,s,0.4179,ʒ,0.162
1077,e,0.8019,ɛ,0.1471,ə,0.0509
1136,p,0.5006,t,0.2699,d,0.2296
1140,u,0.9162,o,0.0567,y,0.0271
1149,t,0.8988,[PAD],0.09,d,0.0113
1168,s,0.9343,z,0.0329,ʃ,0.0328
1172,ɔ,0.8895,a,0.0702,ə,0.0404
1178,ʁ,0.9364,ɾ,0.0408,[PAD],0.0228
1187,t,0.7458,[PAD],0.2429,d,0.0113
1203,d,0.9801,[PAD],0.0135,l,0.0064
1206,ə,0.7116,e,0.2569,ɛ,0.0315
1213,l,0.9179,ʁ,0.054,d,0.0282
1216,e,0.62,ə,0.2959,ɛ,0.084
1224,d,0.4289,ɡ,0.3755,ʒ,0.1956
1227,e,0.5663,ə,0.2666,i,0.1671
1256,o,0.748,ɔ,0.1906,ə,0.0614
1264,v,0.6058,f,0.2473,[PAD],0.1469
1274,n,0.5302,[PAD],0.3413,ʁ,0.1285
1285,d,0.8636,l,0.0901,ɡ,0.0463
1288,y,0.64,i,0.2415,e,0.1185
1296,ʒ,0.8421,[PAD],0.134,ʃ,0.0239
1299,a,0.9509,ɛ,0.0352,ɑ,0.0139
1302,ʁ,0.5149,[PAD],0.4659,ɾ,0.0192
1308,d,0.9733,b,0.0139,t,0.0128
1312,ɛ,0.4403,ɑ,0.3834,œ,0.1763
1315,˜,0.7262,[PAD],0.2025,ʁ,0.0713
1368,l,0.9589,ʁ,0.0218,[PAD],0.0193
1371,ə,0.8611,[PAD],0.0695,e,0.0694
1456,l,0.9324,[PAD],0.0579,d,0.0097
1515,ɔ,0.6581,u,0.2615,a,0.0804
1525,ʁ,0.909,[PAD],0.0526,ɾ,0.0384
1542,s,0.7079,[PAD],0.2801,ʃ,0.0121
1550,s,0.6234,t,0.2814,[PAD],0.0953
1555,ɔ,0.6598,y,0.2112,ɑ,0.129
1559,˜,0.7779,[PAD],0.1387,n,0.0834
1592,d,0.4143,t,0.3769,s,0.2088
1595,j,0.5421,[PAD],0.434,ʒ,0.0239
1597,ɔ,0.5582,ɑ,0.2878,y,0.154
1601,˜,0.8456,n,0.0896,[PAD],0.0648
1661,ʁ,0.9393,ɾ,0.0375,[PAD],0.0231
1665,ɛ,0.9208,e,0.0436,u,0.0356
1675,s,0.5053,[PAD],0.3893,z,0.1053
1686,t,0.9345,d,0.0526,[PAD],0.0129
1689,u,0.9671,o,0.0171,y,0.0158
1699,ʒ,0.9226,ʃ,0.0663,s,0.0111
1704,u,0.9012,ɔ,0.0541,o,0.0448
1710,ʁ,0.9431,ɾ,0.0405,[PAD],0.0164
1722,ɛ,0.8002,a,0.1661,u,0.0337
1727,ʁ,0.9314,ɾ,0.037,[PAD],0.0317
1735,m,0.6056,n,0.2582,l,0.1361
1740,e,0.7639,ɛ,0.1706,i,0.0655
1794,p,0.8672,b,0.0967,k,0.0361
1799,u,0.8811,o,0.0786,ɔ,0.0403
1803,ʁ,0.9374,ɾ,0.0369,[PAD],0.0258
1842,k,0.3989,d,0.3421,t,0.259
1847,ə,0.8123,e,0.1205,[PAD],0.0672
